https://ru.wikipedia.org/wiki/HTTP,200,261600,619.255915mms
https://ru.bmstu.wiki/HTTP_(Hypertext_Transfer_Protocol),200,74610,851.392763mms
https://developer.mozilla.org/ru/docs/Web/HTTP,200,621152,1.107384911ms
https://habr.com/ru/post/215117/,200,353136,1.298401197ms
https://www.speedcheck.org/ru/wiki/http/,200,128543,773.32604mms
https://proselyte.net/tutorials/http-tutorial/introduction/,200,22970,1.00708765ms
http://adilet.zan.kz/rus,200,65543,266.321335mms
http://www.edu.gov.kz/,200,562,613.038117mms
https://wiki.merionet.ru/servernye-resheniya/3/protocol-http/,200,37978,561.4791mms
https://www.opennet.ru/docs/RUS/http/,200,11270,639.880198mms
http://pki.gov.kz/index.php/ru/ncalayer,200,51957,1.639003448ms
https://flaviocopes.com/http/,200,69978,734.045835mms
https://www.w3.org/Protocols/HTTP/1.1/rfc2616bis/draft-lafon-rfc2616bis-03.html,200,745969,1.467692265ms
https://www.extrahop.com/resources/protocols/http/,200,107878,3.58422045ms
